machine_type,vibration_mm_s,spindle_current_percent,spindle_temperature_C,acoustic_dba,lubrication_pressure_bar,coolant_temperature_C,active_failure,status
cnc,1.07,51.32,43.9,83.62,2.05,26.84,none,running
cnc,1.61,72.39,65.01,78.03,2.13,30.78,cutting_overload,warning
cnc,1.51,53.8,67.56,85.26,2.01,37.08,coolant_failure,warning
cnc,0.66,29.64,27.41,55,2.22,25.98,none,running
cnc,2.77,48.09,55.31,94.69,2.16,25.7,chatter,warning
cnc,2.34,78.34,76.23,95.41,2.01,37.37,cutting_overload,fault
cnc,2.41,47.27,46.66,92.08,1.84,26.39,chatter,warning
cnc,3.49,50.92,54.34,95.56,2.03,27.7,chatter,warning
cnc,2.49,44.09,47.77,88.51,1.88,27.59,chatter,warning
cnc,2.88,56.38,56.24,99.51,2.1,29.35,chatter,warning
cnc,2.86,54.17,54.49,110,2.1,26.82,chatter,warning
cnc,0.82,48.01,41.13,75.61,2.17,26.94,none,running
cnc,1.62,58.28,50.48,63.2,1.97,32.19,cutting_overload,running
cnc,1.17,32.64,25.44,55,1.93,26.77,chatter,running
cnc,1.82,37.94,28.16,62.85,1.96,29.49,chatter,running
cnc,2.95,66.19,53.54,104.02,1.99,28.58,chatter,warning
cnc,2.53,41.55,47.08,92.01,1.87,26.81,chatter,warning
cnc,2.86,59.54,56.78,103.77,2.06,27.98,chatter,warning
cnc,1.79,94.72,67.69,86.73,2.09,36.22,cutting_overload,warning
cnc,1.55,48.6,38.59,55,2,34.16,cutting_overload,warning
cnc,1.33,87.45,64.71,74.76,1.97,34.86,cutting_overload,warning
cnc,0.98,51.79,46.13,82.64,1.82,29.38,none,running
cnc,1.36,85.22,60.66,80.7,1.95,34.64,cutting_overload,warning
cnc,1.69,79.8,72.9,90.47,2.09,30.7,cutting_overload,fault
cnc,3.41,56.81,53.82,92.5,1.81,27.66,chatter,warning
cnc,2.33,57.59,50.14,97.91,1.93,27.48,chatter,warning
cnc,2.78,56.43,48.25,95.15,2.18,26.14,chatter,warning
cnc,0.87,43.91,37.62,71.48,1.96,26,none,running
cnc,2.28,81.29,72.31,88.62,2.16,37.51,cutting_overload,fault
cnc,1.31,68.7,53.88,82.46,2.22,33.97,cutting_overload,running
cnc,0.81,43.82,41.85,77.03,1.87,28.04,none,running
cnc,1.61,70.89,57.36,76.36,1.84,30.69,cutting_overload,running
cnc,1,46.47,46.22,82.09,1.98,27.79,none,running
cnc,1.72,78.16,60.46,77.07,1.84,36.26,cutting_overload,warning
cnc,0.72,44.99,43.41,72.45,2.08,25.17,none,running
cnc,1.72,69.23,52.06,75.78,1.82,34.88,cutting_overload,warning
cnc,1.81,87.56,60.23,71.9,2.12,33.86,cutting_overload,warning
cnc,0.91,44.76,40.35,76.65,2.21,27.07,none,running
cnc,1.16,59.52,50.78,93.1,2,27.49,none,warning
cnc,2.04,71.53,56.36,77.86,2.07,32.97,cutting_overload,warning
cnc,0.79,50.44,34.6,55,1.86,37.75,cutting_overload,warning
cnc,2.1,89.39,64.86,96.09,1.97,36.78,cutting_overload,warning
cnc,1.35,75.8,66.45,88.67,2.02,32.17,cutting_overload,warning
cnc,0.84,55.31,38.23,55,2.31,32.58,cutting_overload,running
cnc,0.94,46.94,44.39,83.15,2.08,26.12,none,running
cnc,0.78,45.05,42.06,72.67,2.08,28.73,none,running
cnc,1.71,82.8,67.97,88.67,1.96,35.36,cutting_overload,warning
cnc,1.06,52.62,49.64,89.76,2.12,27.46,none,running
cnc,1.87,86.45,61.35,83.12,2.03,33.24,cutting_overload,warning
cnc,1,48.93,44.1,82.91,1.88,26.12,none,running
cnc,1.69,25.93,25.63,55,2.03,28.26,chatter,running
cnc,1.77,91.72,77.29,85.5,2.01,36.88,cutting_overload,fault
cnc,1.92,73.2,56.19,80.57,2.06,30.77,cutting_overload,running
cnc,1.78,70.03,58.16,71.23,2.08,36.63,cutting_overload,warning
cnc,1.95,94.2,70.67,96.53,1.97,31.93,cutting_overload,fault
cnc,0.73,41.59,39.07,75.16,2.01,25.74,none,running
cnc,0.57,27.95,26.47,55,2.13,26.05,none,running
cnc,1.15,50.15,47.69,89.82,2.05,26.97,none,running
cnc,1.41,74.92,52.57,74.3,1.86,35.87,cutting_overload,warning
cnc,1.79,77.23,59.65,80.37,2.24,30.43,spindle_misalignment,warning
cnc,1.62,70.83,67.12,82.79,2.26,35.6,cutting_overload,warning
cnc,3.11,48.88,54.58,104.12,1.96,31.18,chatter,warning
cnc,0.94,26.09,22.49,55,2.29,29.42,chatter,running
cnc,1.1,46.91,36.66,55,1.81,31.69,cutting_overload,running
cnc,1.55,53.27,45.18,55,2.2,31.57,cutting_overload,running
cnc,1.3,61.14,40.83,57.5,2.15,33.68,cutting_overload,running
cnc,3.07,57.06,44.07,92.06,2,28.15,chatter,warning
cnc,0.97,59.78,45.26,56.92,2.19,31.62,cutting_overload,running
cnc,1.46,67.65,61.5,75.8,2.06,34.08,cutting_overload,warning
cnc,1.01,45.84,45.67,82.94,2.21,26.71,none,running
cnc,1.49,76.57,59.02,82.48,1.92,33.75,cutting_overload,warning
cnc,1.46,80.36,57.28,72.77,2.01,30.36,cutting_overload,running
cnc,1.1,76.88,59.44,70.61,1.92,35.08,cutting_overload,warning
cnc,0.86,45.66,40.68,80.13,2.05,26.48,none,running
cnc,0.58,24.13,22.1,55,2.16,24.67,none,running
cnc,0.82,38.72,40.36,69.77,2.04,25.7,none,running
cnc,1.49,79.27,64.06,80.83,2.16,29.9,cutting_overload,warning
cnc,0.83,41.43,38.59,74.3,2.02,27.4,none,running
cnc,0.95,52.65,49.7,91.01,2.14,28.69,none,running
cnc,0.75,39.54,38.52,70.9,2.14,26.51,none,running
cnc,0.96,39.35,31.49,55,2.03,35.26,cutting_overload,warning
cnc,2.38,55.31,53.74,99.81,2.14,28.71,chatter,warning
cnc,2.75,63.3,56.58,105.24,2.08,29.15,chatter,warning
cnc,0.83,51.08,45.29,82.81,2.13,25.35,none,running
cnc,2.13,74.41,58.76,79.03,2.1,31.04,cutting_overload,warning
cnc,0.81,49.02,44.02,79.69,1.9,25.81,none,running
cnc,1.05,51.54,47.12,92.29,1.85,28.46,none,warning
cnc,3.05,62.44,54.15,101.96,2.16,28.14,chatter,warning
cnc,0.62,33.58,27.59,55.91,2.11,26.52,none,running
cnc,0.94,47.79,44.01,78.88,1.85,27.89,none,running
cnc,0.96,63.75,43.75,57.69,2.03,35.28,cutting_overload,warning
cnc,2.86,56.59,45.45,97.14,1.97,28.91,chatter,warning
cnc,3.14,55.9,57.12,104.69,1.9,27.03,chatter,warning
cnc,0.85,47.86,44.26,78.28,2.11,26.34,none,running
cnc,1.4,74.38,64.55,90.45,2.21,31.45,cutting_overload,warning
cnc,0.95,48.53,42.2,90.32,2.07,27.93,none,running
cnc,0.53,35.25,32,58.32,1.94,26.29,none,running
cnc,1.52,60.26,48.71,61.04,1.83,31.41,cutting_overload,running
cnc,1.42,31.59,32.1,63.74,2.32,28.37,chatter,running
cnc,0.87,46.11,45.12,80.17,2,28.06,none,running
cnc,1.69,89.87,72.68,95.94,2.14,36.74,cutting_overload,fault
cnc,0.93,47.28,45.15,83.4,1.94,26.42,none,running
cnc,2.19,82.42,70.02,93.86,1.97,34.07,cutting_overload,fault
cnc,0.85,40.14,35.81,66.54,2.19,26.46,none,running
cnc,2.55,45.63,47.26,96.26,1.85,25.69,chatter,warning
cnc,1.48,65.33,56.55,73.98,2.15,37.83,cutting_overload,warning
cnc,1.75,31.21,33.82,62.58,1.89,28.11,chatter,running
cnc,1.8,85.34,62.76,91.18,2.12,32.29,cutting_overload,warning
cnc,0.93,49.89,47.6,88.26,2.3,26.91,none,running
cnc,1.81,91.01,67.14,86.49,1.95,31.57,cutting_overload,warning
cnc,1.13,51.84,48.2,92.96,2.03,29.21,none,warning
cnc,0.99,51.71,46.61,87.48,2.09,27.1,none,running
cnc,1.44,49.76,47.38,55,2.15,33.18,cutting_overload,running
cnc,1.07,64.07,37.35,59,2,36.05,cutting_overload,warning
cnc,0.75,44.36,42.55,74.05,1.97,25.6,none,running
cnc,1.93,72.31,59.85,84.98,2.04,38.12,cutting_overload,warning
cnc,0.92,47.63,48.43,87.73,1.92,28,none,running
cnc,0.54,24.65,28.35,55,1.96,26.72,none,running
cnc,2.08,97.35,72.85,96.51,2.21,31,cutting_overload,fault
cnc,0.95,50.35,42.56,85.88,2.15,27.06,none,running
cnc,1.09,55.51,43.5,89.41,2.04,26.08,none,running
cnc,0.92,50.91,50.68,93.23,2.03,27.33,none,warning
cnc,2.36,95.13,75.51,94.69,2.04,32.62,cutting_overload,fault
cnc,2.13,80.18,69.02,79.91,2.05,33.14,cutting_overload,warning
cnc,2.22,78.6,56.58,82.89,1.89,30.91,cutting_overload,warning
cnc,0.91,50.46,46.88,81.18,1.9,24.8,none,running
cnc,2.38,50.96,44.71,92.33,2.09,30.12,chatter,warning
cnc,1.2,53.31,34.67,55,2.23,34.94,cutting_overload,warning
cnc,1.18,54.34,35.59,55,1.97,33.87,cutting_overload,running
cnc,0.9,46.64,43.5,83.12,1.92,26.78,none,running
cnc,0.8,38.11,37.47,67.21,1.93,28.58,none,running
cnc,1.03,49.97,47.94,93.71,2.26,26.22,none,warning
cnc,0.48,30.19,25.93,55,2.05,27.6,none,running
cnc,1.64,87.92,54.56,80.76,1.98,31.81,cutting_overload,warning
